age,income,loan_amount,credit_score,employment_years,existing_debts,home_ownership,loan_purpose,default
56,125186,19546,667,11,0,MORTGAGE,HOME_IMPROVEMENT,0
69,54674,20129,519,10,2,RENT,SMALL_BUSINESS,0
46,55854,2591,636,36,1,MORTGAGE,MAJOR_PURCHASE,0
32,66271,12303,522,24,2,OWN,HOME_IMPROVEMENT,0
60,93688,31561,659,17,2,MORTGAGE,SMALL_BUSINESS,0
25,58518,7183,628,18,3,MORTGAGE,SMALL_BUSINESS,0
38,131076,27572,762,22,0,OWN,DEBT_CONSOLIDATION,0
56,30267,35080,681,37,2,MORTGAGE,SMALL_BUSINESS,1
36,110825,21695,468,17,4,RENT,HOME_IMPROVEMENT,0
40,21062,8314,516,25,4,RENT,DEBT_CONSOLIDATION,1
28,136664,20623,677,5,3,RENT,DEBT_CONSOLIDATION,0
28,70448,3139,418,3,0,RENT,HOME_IMPROVEMENT,0
41,115462,48456,489,28,0,MORTGAGE,MAJOR_PURCHASE,0
53,26229,32290,669,33,4,MORTGAGE,SMALL_BUSINESS,1
57,76793,19088,448,16,1,OWN,DEBT_CONSOLIDATION,0
41,134813,40692,787,15,3,MORTGAGE,MAJOR_PURCHASE,0
20,67915,34130,673,1,3,MORTGAGE,HOME_IMPROVEMENT,0
39,24632,33088,459,33,4,MORTGAGE,SMALL_BUSINESS,0
19,124592,27292,650,7,4,OWN,SMALL_BUSINESS,0
41,23596,47249,587,12,1,RENT,DEBT_CONSOLIDATION,1
61,129779,21670,587,7,1,MORTGAGE,SMALL_BUSINESS,1
47,26168,4738,525,29,0,OWN,SMALL_BUSINESS,0
55,128099,3469,822,31,3,OWN,SMALL_BUSINESS,1
19,27561,23534,821,35,3,OWN,SMALL_BUSINESS,1
38,93794,49874,572,29,4,RENT,HOME_IMPROVEMENT,1
50,102152,10017,701,0,0,MORTGAGE,MAJOR_PURCHASE,0
29,145036,3808,482,38,3,OWN,HOME_IMPROVEMENT,0
39,144049,48638,787,16,0,RENT,HOME_IMPROVEMENT,0
61,46734,13713,423,19,0,OWN,DEBT_CONSOLIDATION,0
